Created as New Dataset,Sample 059 By ir Date Thursday, May 07 2015
cm-1,A
5464.13,-0.0046
5464.00,-0.0044
5463.88,-0.0041
5463.75,-0.0039
5463.63,-0.0038
5463.50,-0.0038
5463.38,-0.0040
5463.25,-0.0044
5463.13,-0.0047
5463.00,-0.0046
5462.88,-0.0044
5462.75,-0.0044
5462.63,-0.0045
5462.50,-0.0042
5462.38,-0.0036
5462.25,-0.0033
5462.13,-0.0036
5462.00,-0.0042
5461.88,-0.0045
5461.75,-0.0042
5461.63,-0.0039
5461.50,-0.0040
5461.38,-0.0043
5461.25,-0.0044
5461.13,-0.0043
5461.00,-0.0042
5460.88,-0.0043
5460.75,-0.0045
5460.63,-0.0045
5460.50,-0.0045
5460.38,-0.0044
5460.25,-0.0043
5460.13,-0.0042
5460.00,-0.0041
5459.88,-0.0039
5459.75,-0.0038
5459.63,-0.0039
5459.50,-0.0039
5459.38,-0.0039
5459.25,-0.0039
5459.13,-0.0039
5459.00,-0.0039
5458.88,-0.0039
5458.75,-0.0039
5458.63,-0.0039
5458.50,-0.0038
5458.38,-0.0038
5458.25,-0.0040
5458.13,-0.0043
5458.00,-0.0044
5457.88,-0.0043
5457.75,-0.0044
5457.63,-0.0047
5457.50,-0.0050
5457.38,-0.0050
5457.25,-0.0049
5457.13,-0.0051
5457.00,-0.0053
5456.88,-0.0053
5456.75,-0.0049
5456.63,-0.0044
5456.50,-0.0041
5456.38,-0.0041
5456.25,-0.0041
5456.13,-0.0042
5456.00,-0.0041
5455.88,-0.0039
5455.75,-0.0037
5455.63,-0.0035
5455.50,-0.0037
5455.38,-0.0041
5455.25,-0.0045
5455.13,-0.0045
5455.00,-0.0041
5454.88,-0.0038
5454.75,-0.0038
5454.63,-0.0038
5454.50,-0.0036
5454.38,-0.0036
5454.25,-0.0040
5454.13,-0.0045
5454.00,-0.0047
5453.88,-0.0047
5453.75,-0.0046
5453.63,-0.0047
5453.50,-0.0046
5453.38,-0.0044
5453.25,-0.0042
5453.13,-0.0044
5453.00,-0.0045
5452.88,-0.0044
5452.75,-0.0042
5452.63,-0.0044
5452.50,-0.0047
5452.38,-0.0046
5452.25,-0.0043
5452.13,-0.0041
5452.00,-0.0040
5451.88,-0.0038
5451.75,-0.0036
5451.63,-0.0038
5451.50,-0.0041
5451.38,-0.0041
5451.25,-0.0039
5451.13,-0.0039
