Created as New Dataset,Sample 024 By ir Date Thursday, May 14 2015
cm-1,A
6460.50,0.0748
6460.38,0.0744
6460.25,0.0743
6460.13,0.0748
6460.00,0.0758
6459.88,0.0761
6459.75,0.0753
6459.63,0.0745
6459.50,0.0745
6459.38,0.0750
6459.25,0.0750
6459.13,0.0748
6459.00,0.0749
6458.88,0.0756
6458.75,0.0762
6458.63,0.0763
6458.50,0.0761
6458.38,0.0757
6458.25,0.0748
6458.13,0.0741
6458.00,0.0743
6457.88,0.0749
6457.75,0.0747
6457.63,0.0738
6457.50,0.0736
6457.38,0.0748
6457.25,0.0759
6457.13,0.0758
6457.00,0.0755
6456.88,0.0764
6456.75,0.0780
6456.63,0.0782
6456.50,0.0766
6456.38,0.0745
6456.25,0.0738
6456.13,0.0744
6456.00,0.0753
6455.88,0.0751
6455.75,0.0744
6455.63,0.0745
6455.50,0.0762
6455.38,0.0777
6455.25,0.0772
6455.13,0.0758
6455.00,0.0763
6454.88,0.0784
6454.75,0.0783
6454.63,0.0744
6454.50,0.0710
6454.38,0.0725
6454.25,0.0765
6454.13,0.0776
6454.00,0.0751
6453.88,0.0739
6453.75,0.0763
6453.63,0.0785
6453.50,0.0768
6453.38,0.0732
6453.25,0.0720
6453.13,0.0735
6453.00,0.0751
6452.88,0.0751
6452.75,0.0743
6452.63,0.0732
6452.50,0.0720
6452.38,0.0715
6452.25,0.0728
6452.13,0.0756
6452.00,0.0777
6451.88,0.0780
6451.75,0.0778
6451.63,0.0784
6451.50,0.0794
6451.38,0.0792
6451.25,0.0772
6451.13,0.0755
6451.00,0.0760
6450.88,0.0781
6450.75,0.0793
6450.63,0.0779
6450.50,0.0758
6450.38,0.0756
6450.25,0.0767
6450.13,0.0767
6450.00,0.0749
6449.88,0.0733
6449.75,0.0735
6449.63,0.0744
6449.50,0.0747
6449.38,0.0745
6449.25,0.0748
6449.13,0.0757
6449.00,0.0760
6448.88,0.0756
6448.75,0.0749
6448.63,0.0747
6448.50,0.0756
6448.38,0.0773
6448.25,0.0779
6448.13,0.0766
6448.00,0.0749
6447.88,0.0755
6447.75,0.0776
6447.63,0.0780
6447.50,0.0762
6447.38,0.0754
6447.25,0.0773
6447.13,0.0793
6447.00,0.0783
6446.88,0.0761
6446.75,0.0759
6446.63,0.0778
6446.50,0.0789
6446.38,0.0790
6446.25,0.0795
6446.13,0.0802
6446.00,0.0793
6445.88,0.0777
6445.75,0.0781
6445.63,0.0801
6445.50,0.0800
6445.38,0.0770
6445.25,0.0745
6445.13,0.0754
6445.00,0.0774
6444.88,0.0767
6444.75,0.0742
6444.63,0.0733
6444.50,0.0751
6444.38,0.0770
6444.25,0.0767
6444.13,0.0754
6444.00,0.0754
6443.88,0.0763
6443.75,0.0765
6443.63,0.0754
6443.50,0.0745
6443.38,0.0747
6443.25,0.0750
6443.13,0.0743
6443.00,0.0741
6442.88,0.0759
6442.75,0.0784
6442.63,0.0785
6442.50,0.0755
6442.38,0.0731
6442.25,0.0738
6442.13,0.0760
6442.00,0.0769
6441.88,0.0766
6441.75,0.0769
6441.63,0.0778
6441.50,0.0770
6441.38,0.0746
6441.25,0.0730
6441.13,0.0735
6441.00,0.0751
6440.88,0.0765
6440.75,0.0770
6440.63,0.0761
6440.50,0.0734
6440.38,0.0707
6440.25,0.0705
6440.13,0.0724
6440.00,0.0743
6439.88,0.0753
6439.75,0.0769
6439.63,0.0794
6439.50,0.0803
6439.38,0.0785
6439.25,0.0765
6439.13,0.0767
6439.00,0.0780
6438.88,0.0782
6438.75,0.0774
6438.63,0.0773
6438.50,0.0779
6438.38,0.0782
6438.25,0.0784
6438.13,0.0791
6438.00,0.0791
6437.88,0.0769
6437.75,0.0740
6437.63,0.0735
6437.50,0.0758
6437.38,0.0778
6437.25,0.0772
6437.13,0.0759
6437.00,0.0764
6436.88,0.0776
6436.75,0.0769
6436.63,0.0746
6436.50,0.0743
6436.38,0.0771
6436.25,0.0799
6436.13,0.0792
6436.00,0.0768
6435.88,0.0765
6435.75,0.0790
6435.63,0.0803
6435.50,0.0785
6435.38,0.0764
6435.25,0.0771
6435.13,0.0788
6435.00,0.0783
6434.88,0.0756
6434.75,0.0743
6434.63,0.0752
6434.50,0.0756
6434.38,0.0742
6434.25,0.0730
6434.13,0.0734
6434.00,0.0741
6433.88,0.0737
6433.75,0.0733
6433.63,0.0740
6433.50,0.0746
6433.38,0.0742
6433.25,0.0742
6433.13,0.0759
6433.00,0.0778
6432.88,0.0780
6432.75,0.0771
6432.63,0.0767
6432.50,0.0770
6432.38,0.0772
6432.25,0.0776
6432.13,0.0783
6432.00,0.0780
6431.88,0.0759
6431.75,0.0736
6431.63,0.0731
6431.50,0.0737
6431.38,0.0745
6431.25,0.0758
6431.13,0.0783
6431.00,0.0796
6430.88,0.0778
6430.75,0.0751
6430.63,0.0750
6430.50,0.0771
6430.38,0.0779
6430.25,0.0769
6430.13,0.0771
6430.00,0.0792
6429.88,0.0799
6429.75,0.0772
6429.63,0.0743
6429.50,0.0749
6429.38,0.0776
6429.25,0.0783
6429.13,0.0763
6429.00,0.0744
6428.88,0.0747
6428.75,0.0764
6428.63,0.0774
6428.50,0.0773
6428.38,0.0770
6428.25,0.0773
6428.13,0.0783
6428.00,0.0789
